genres,item_name,tags,item_id
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140
"['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290
"['Action', 'Adventure', 'Casual']",弹炸人2222,"['Action', 'Adventure', 'Casual']",767400
"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278
"['Casual', 'Indie', 'Racing', 'Simulation']",Race,"['Indie', 'Casual', 'Simulation', 'Racing']",768800
"['Action', 'Indie', 'Simulation', 'Early Access']",Uncanny Islands,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']",768570
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380
"['Casual', 'Indie']",Beach Rules,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880
"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,"['Indie', 'Casual', 'Simulation']",765320
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",768060
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,"['Simulation', 'Racing', 'Sports']",775880
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,"['Simulation', 'Racing', 'Sports']",775881
