date,title,sentiment_analysis,recommend,release_date
"November 5, 2011",Killing Floor,1,True,2009-05-14
"March 30, 2015",Killing Floor,2,True,2009-05-14
"July 12, 2013",Killing Floor,1,True,2009-05-14
"August 13, 2015",Killing Floor,1,True,2009-05-14
"April 5, 2014",Killing Floor,1,True,2009-05-14
"December 16, 2010",Killing Floor,2,True,2009-05-14
"May 26, 2014",Killing Floor,1,True,2009-05-14
"January 15, 2015",Killing Floor,1,True,2009-05-14
"May 26, 2014",Killing Floor,1,True,2009-05-14
"July 3, 2014",Killing Floor,1,True,2009-05-14
"July 7, 2013",Killing Floor,2,True,2009-05-14
"November 24, 2014",Killing Floor,1,True,2009-05-14
"June 22, 2015",Killing Floor,1,True,2009-05-14
"March 8, 2015",Killing Floor,2,True,2009-05-14
"July 17, 2014",Killing Floor,2,True,2009-05-14
"November 26, 2013",Killing Floor,2,True,2009-05-14
"July 21, 2013",Killing Floor,0,True,2009-05-14
"June 24, 2014",Killing Floor,1,True,2009-05-14
"December 12, 2014",Killing Floor,1,True,2009-05-14
"December 1, 2014",Killing Floor,1,True,2009-05-14
"December 30, 2012",Killing Floor,1,True,2009-05-14
"December 13, 2013",Killing Floor,0,True,2009-05-14
"August 19, 2014",Killing Floor,1,True,2009-05-14
"January 30, 2014",Killing Floor,2,True,2009-05-14
"November 10, 2014",Killing Floor,2,True,2009-05-14
"September 9, 2013",Killing Floor,0,True,2009-05-14
"December 12, 2014",Killing Floor,1,True,2009-05-14
"December 19, 2015",Killing Floor,1,True,2009-05-14
"December 6, 2013",Killing Floor,1,True,2009-05-14
"October 18, 2014",Killing Floor,0,False,2009-05-14
"February 21, 2014",Killing Floor,0,True,2009-05-14
"June 19, 2013",Killing Floor,1,True,2009-05-14
"February 17, 2014",Killing Floor,1,True,2009-05-14
"March 14, 2015",Killing Floor,2,True,2009-05-14
"August 4, 2014",Killing Floor,2,True,2009-05-14
"July 8, 2014",Killing Floor,0,True,2009-05-14
"December 6, 2013",Killing Floor,1,True,2009-05-14
"May 27, 2014",Killing Floor,2,True,2009-05-14
"July 13, 2012",Killing Floor,0,True,2009-05-14
"December 6, 2013",Killing Floor,2,True,2009-05-14
"May 11, 2014",Killing Floor,2,True,2009-05-14
"July 5, 2014",Killing Floor,1,True,2009-05-14
"August 26, 2014",Killing Floor,1,True,2009-05-14
"October 17, 2014",Killing Floor,1,True,2009-05-14
"March 21, 2014",Killing Floor,2,True,2009-05-14
"September 29, 2013",Killing Floor,2,True,2009-05-14
"November 12, 2015",Killing Floor,1,True,2009-05-14
"November 21, 2014",Killing Floor,1,False,2009-05-14
"November 27, 2014",Killing Floor,2,True,2009-05-14
"November 4, 2014",Killing Floor,1,True,2009-05-14
"December 22, 2015",Killing Floor,1,True,2009-05-14
"July 2, 2014",Killing Floor,2,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"July 9, 2012",Killing Floor,1,True,2009-05-14
"December 3, 2013",Killing Floor,1,True,2009-05-14
"September 27, 2014",Killing Floor,1,True,2009-05-14
"December 28, 2013",Killing Floor,1,True,2009-05-14
"December 13, 2011",Killing Floor,1,True,2009-05-14
"October 16, 2014",Killing Floor,1,True,2009-05-14
"May 29, 2013",Killing Floor,0,True,2009-05-14
"July 29, 2013",Killing Floor,2,True,2009-05-14
"June 24, 2014",Killing Floor,2,True,2009-05-14
"December 30, 2011",Killing Floor,0,True,2009-05-14
"November 29, 2013",Killing Floor,1,True,2009-05-14
"July 21, 2014",Killing Floor,2,True,2009-05-14
"December 12, 2010",Killing Floor,2,True,2009-05-14
"September 18, 2015",Killing Floor,0,True,2009-05-14
"December 22, 2014",Killing Floor,2,True,2009-05-14
,Killing Floor,2,True,2009-05-14
,Killing Floor,1,True,2009-05-14
"April 1, 2013",Killing Floor,1,True,2009-05-14
"March 20, 2014",Killing Floor,1,True,2009-05-14
"December 7, 2013",Killing Floor,2,True,2009-05-14
"May 25, 2015",Killing Floor,2,True,2009-05-14
"December 20, 2014",Killing Floor,1,True,2009-05-14
"January 3, 2011",Killing Floor,2,True,2009-05-14
,Killing Floor,2,True,2009-05-14
"December 25, 2013",Killing Floor,1,True,2009-05-14
"December 17, 2013",Killing Floor,2,True,2009-05-14
"July 1, 2015",Killing Floor,1,True,2009-05-14
